IdPoliza,NumPoliza,FormaPago,FechaInicio,FechaVencimiento,FechaCobranza,Prima,Estatus,IdCompania,IdAsegurado,IdUnidad
21,M645712545,ANUAL,29/7/2025,29/7/2026,,,Activa,1,5,21
22,M645722758,ANUAL,4/12/2025,4/12/2026,,,Activa,1,6,22
23,M645707790,ANUAL,31/5/2025,31/5/2026,,,Activa,2,7,23
24,M645711089,ANUAL,31/5/2025,31/5/2026,,,Activa,1,7,24
25,M645700399,ANUAL,13/2/2024,13/2/2025,,,Cancelada,1,8,25
26,M644733015,ANUAL,24/1/2025,24/1/2026,,,Activa,3,9,26
27,M645706408,SEMESTRAL,29/3/2025,29/3/2026,,,Activa,1,9,27
28,M645716749,SEMESTRAL,27/7/2025,27/7/2026,,,Activa,1,9,28
29,M645721399,ANUAL,14/11/2025,14/11/2026,,,Activa,3,9,29
30,M645721403,SEMESTRAL,14/11/2025,14/11/2026,,,Activa,1,9,30
31,M644728182,ANUAL,14/11/2024,14/11/2025,,,Cancelada,1,9,31
32,M645709608,TRIMESTRAL,26/6/2025,26/6/2026,,,Activa,4,10,32
33,M645719075,ANUAL,10/10/2025,10/10/2026,,,Cancelada,4,11,33
34,M644719754,TRIMESTRAL,1/7/2024,1/7/2025,,,Cancelada,1,12,34
35,M644724685,TRIMESTRAL,2/10/2024,2/10/2025,,,Cancelada,1,12,35
36,M645650136,ANUAL,17/2/2025,17/2/2026,,,Activa,1,13,36
37,M645713827,ANUAL,14/8/2025,14/8/2026,,,Activa,4,13,37
38,M645719660,ANUAL,18/10/2025,18/10/2026,,,Activa,1,13,38
39,M645720314,ANUAL,27/10/2025,27/10/2026,,,Activa,1,13,39
40,M645705075,ANUAL,22/4/2025,22/4/2026,,,Cancelada,1,14,40
41,M645718240,ANUAL,13/8/2025,13/8/2026,,,Activa,1,15,41
42,M644725373,ANUAL,27/8/2024,27/8/2025,,,Cancelada,1,15,42
43,M644730325,SEMESTRAL,16/12/2024,16/12/2025,,,Activa,1,16,43
44,M645700886,SEMESTRAL,26/2/2025,26/2/2026,,,Cancelada,1,18,44
45,M645706323,SEMESTRAL,28/3/2025,28/3/2026,,,Activa,1,18,45
46,M644720868,SEMESTRAL,22/7/2024,22/7/2025,,,Cancelada,1,18,46
47,M644708624,SEMESTRAL,21/3/2024,21/3/2025,,,Cancelada,1,19,47
48,M645718815,ANUAL,5/10/2025,5/10/2026,,,Activa,1,20,48
49,M644731904,ANUAL,10/1/2025,10/1/2026,,,Activa,4,21,49
50,M645706058,ANUAL,9/5/2025,9/5/2026,,,Activa,4,22,50
51,M644713437,ANUAL,9/5/2024,9/5/2025,,,Cancelada,4,23,51
52,M645724794,ANUAL,6/11/2025,6/11/2026,,,Activa,4,23,52
53,M645720546,ANUAL,1/11/2025,1/11/2026,,,Activa,1,24,53
54,M645720014,ANUAL,22/10/2025,22/10/2026,,,Activa,1,25,54
55,M645709231,ANUAL,17/6/2025,17/6/2026,,,Activa,1,26,55
56,M645720164,SEMESTRAL,25/10/2025,25/10/2026,,,Activa,1,27,56
57,M644730905,SEMESTRAL,26/12/2024,26/12/2025,,,Activa,1,28,57
58,M645712665,SEMESTRAL,5/8/2025,5/8/2026,,,Activa,1,29,58
59,M645710825,ANUAL,12/7/2025,12/7/2026,,,Activa,1,30,59
60,M645712018,MENSUAL,16/7/2025,16/7/2026,,,Cancelada,1,31,60
61,M645703641,ANUAL,19/2/2025,19/2/2026,,,Activa,1,32,61
62,M644732261,TRIMESTRAL,12/1/2025,12/1/2026,,,Activa,1,33,62
63,M644734029,ANUAL,8/2/2025,8/2/2026,,,Activa,1,34,63
64,M645705126,ANUAL,24/4/2025,24/4/2026,,,Activa,1,34,64
65,M645709714,ANUAL,27/6/2025,27/6/2026,,,Activa,1,35,65
66,M645709942,ANUAL,29/6/2025,29/6/2026,,,Activa,1,35,66
67,M645718655,ANUAL,19/8/2025,19/8/2026,,,Activa,1,35,67
68,M645711679,ANUAL,9/6/2025,9/6/2026,,,Cancelada,4,36,68
69,M644730463,MENSUAL,4/11/2024,4/11/2025,,,Cancelada,1,37,69
70,M645711761,ANUAL,10/6/2025,10/6/2026,,,Activa,1,38,70
71,M644732108,ANUAL,2/1/2025,2/1/2026,,,Activa,1,39,71
72,M645712466,ANUAL,21/7/2025,21/7/2026,,,Activa,4,40,72
73,M645725535,ANUAL,8/12/2025,8/12/2026,,,Activa,4,40,73
74,M645707133,ANUAL,21/5/2025,21/5/2026,,,Cancelada,1,41,74
75,M644713450,ANUAL,24/5/2024,24/5/2025,,,Cancelada,1,41,75
76,M645719857,ANUAL,20/10/2025,20/10/2026,,,Activa,1,41,76
77,M645720163,ANUAL,25/10/2025,25/10/2026,,,Activa,1,41,77
78,M644730528,ANUAL,20/12/2024,20/12/2025,,,Activa,1,41,78
79,M644730529,ANUAL,20/12/2024,20/12/2025,,,Activa,1,41,79
80,M644702290,ANUAL,18/1/2024,18/1/2025,,,Cancelada,1,42,80
81,M644702291,ANUAL,18/1/2024,18/1/2025,,,Cancelada,5,42,81
82,M645723573,ANUAL,27/10/2025,27/10/2026,,,Activa,1,43,82
83,M645711814,SEMESTRAL,26/7/2025,26/7/2026,,,Activa,1,44,83
84,M645702346,TRIMESTRAL,13/3/2025,13/3/2026,,,Activa,4,45,84
85,M645700477,SEMESTRAL,16/2/2025,16/2/2026,,,Activa,1,46,85
86,M645720952,SEMESTRAL,8/11/2025,8/11/2026,,,Activa,1,46,86
87,M645717615,ANUAL,19/9/2025,19/9/2026,,,Activa,4,47,87
88,M645701126,ANUAL,28/2/2025,28/2/2026,,,Activa,1,48,88
89,M645706059,SEMESTRAL,9/5/2025,9/5/2026,,,Cancelada,1,49,89
90,M644722780,TRIMESTRAL,4/9/2024,4/9/2025,,,Activa,1,50,90
91,M645701665,SEMESTRAL,22/1/2025,22/1/2026,,,Activa,1,51,91
92,M645715982,SEMESTRAL,15/7/2025,15/7/2026,,,Activa,1,51,92
93,M645718457,ANUAL,29/9/2025,29/9/2026,,,Activa,1,52,93
94,M645724452,ANUAL,16/12/2025,16/12/2026,,,Activa,1,52,94
95,M645700441,TRIMESTRAL,16/2/2025,16/2/2026,,,Activa,1,53,95
96,M644732489,ANUAL,17/1/2025,17/1/2026,,,Activa,1,54,96
97,M644733011,ANUAL,24/1/2025,24/1/2026,,,Activa,1,54,97
98,M645700376,SEMESTRAL,15/2/2025,15/2/2026,,,Cancelada,1,54,98
99,M645717326,ANUAL,14/9/2025,14/9/2026,,,Cancelada,1,54,99
100,M644729508,ANUAL,3/12/2024,3/12/2025,,,Cancelada,4,55,100
101,M644730315,TRIMESTRAL,16/12/2024,16/12/2025,,,Activa,1,56,101
102,M645701408,TRIMESTRAL,4/3/2025,4/3/2026,,,Activa,1,56,102
103,M644704501,TRIMESTRAL,3/2/2024,3/2/2025,,,Cancelada,1,57,103
104,M644710911,TRIMESTRAL,10/4/2024,10/4/2025,,,Cancelada,1,57,104
105,M644716804,TRIMESTRAL,20/6/2024,20/6/2025,,,Cancelada,1,57,105
106,M644708111,SEMESTRAL,11/3/2024,11/3/2025,,,Cancelada,1,57,106
107,M645700372,ANUAL,14/2/2025,14/2/2026,,,Activa,1,58,107
108,M645700373,ANUAL,14/2/2025,14/2/2026,,,Activa,1,58,108
109,M645700374,ANUAL,15/2/2025,15/2/2026,,,Activa,1,58,109
110,M645711634,ANUAL,22/7/2025,22/7/2026,,,Activa,1,58,110
111,M645722214,ANUAL,25/11/2025,25/11/2026,,,Activa,1,58,111
112,M645712726,ANUAL,23/6/2025,23/6/2026,,,Activa,1,59,112
113,M645705229-1,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,113
114,M645705229-2,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,114
115,M645705229-3,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,115
116,M645705229-5,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,116
117,M645705229-6,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,117
118,M645705229-7,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,118
119,M645705229-8,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,119
120,M645705229-9,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,120
121,M645705229-10,TRIMESTRAL,12/3/2025,12/3/2026,,,Cancelada,1,60,121
122,M645705229-11,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,122
123,M645705229-12,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,123
124,M645705229-13,TRIMESTRAL,12/3/2025,12/3/2026,,,Activa,1,60,124
125,M645712272-1,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,125
126,M645712272-2,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,126
127,M645712272-3,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,127
128,M645712272-4,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,128
129,M645712272-5,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,129
130,M645712272-6,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,130
131,M645712272-7,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,131
132,M645712272-8,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,132
133,M645712272-9,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,133
134,M645712272-10,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,134
135,M645712272-11,TRIMESTRAL,24/6/2025,24/6/2026,,,Activa,1,60,135
136,M644718213-9,TRIMESTRAL,24/6/2024,24/6/2025,,,Cancelada,1,60,136
137,M644710102-8,TRIMESTRAL,12/3/2024,12/3/2025,,,Cancelada,1,60,137
138,M644710102-4,TRIMESTRAL,12/3/2024,12/3/2025,,,Cancelada,1,60,138
139,M644733102,ANUAL,25/1/2025,25/1/2026,,,Activa,2,61,139
140,M645700430,ANUAL,13/2/2025,13/2/2026,,,Activa,2,61,140
141,M645700439,ANUAL,13/2/2025,13/2/2026,,,Activa,2,61,141
142,M645703301,TRIMESTRAL,13/2/2025,13/2/2026,,,Activa,2,61,142
143,M645714377,ANUAL,6/7/2025,6/7/2026,,,Activa,2,61,143
144,M645714381,ANUAL,6/7/2025,6/7/2026,,,Activa,2,61,144
145,M645718038,ANUAL,26/8/2025,26/8/2026,,,Activa,2,61,145
146,M645716287,ANUAL,31/8/2025,31/8/2026,,,Activa,2,61,146
147,M645716289,ANUAL,31/8/2025,31/8/2026,,,Activa,2,61,147
148,M645717075,ANUAL,11/9/2025,11/9/2026,,,Activa,2,61,148
149,M645717669,ANUAL,20/9/2025,20/9/2026,,,Activa,2,61,149
150,M645723104,ANUAL,29/10/2025,29/10/2026,,,Activa,2,61,150
151,M645723174,ANUAL,29/10/2025,29/10/2026,,,Activa,2,61,151
152,M645722246,ANUAL,26/11/2025,26/11/2026,,,Activa,6,61,152
153,M645724483,ANUAL,17/12/2025,17/12/2026,,,Activa,1,61,153
154,M645724484,ANUAL,17/12/2025,17/12/2026,,,Activa,1,61,154
155,M645700894,MENSUAL,26/2/2025,26/2/2026,,,Activa,1,62,155
156,M645721294,SEMESTRAL,12/11/2025,12/11/2026,,,Activa,1,63,156
157,M645701990,ANUAL,10/3/2025,10/3/2026,,,Activa,7,64,157
158,M645708842,ANUAL,14/6/2025,14/6/2026,,,Activa,4,64,158
159,M645725889,ANUAL,9/12/2025,9/12/2026,,,Activa,1,64,159
160,M644723294,TRIMESTRAL,20/9/2024,20/9/2025,,,Activa,4,65,160
161,M644706443,SEMESTRAL,24/2/2024,24/2/2025,,,Cancelada,3,66,161
162,M644731911,SEMESTRAL,10/1/2025,10/1/2026,,,Cancelada,4,67,162
163,M645720404,ANUAL,28/10/2025,28/10/2026,,,Activa,4,68,163
164,M645704825,SEMESTRAL,19/4/2025,19/4/2026,,,Activa,1,69,164
165,M645710640,SEMESTRAL,8/7/2025,8/7/2026,,,Cancelada,1,70,165
166,M645700330,ANUAL,23/1/2025,23/1/2026,,,Activa,3,71,166
167,M645700331,ANUAL,23/1/2025,23/1/2026,,,Activa,1,71,167
168,M645716015,ANUAL,25/8/2025,25/8/2026,,,Activa,1,71,168
169,M644732389,TRIMESTRAL,14/1/2025,14/1/2026,,,Activa,1,72,169
170,M645711208,ANUAL,16/7/2025,16/7/2026,,,Activa,1,73,170
171,M645702878,ANUAL,16/2/2025,16/2/2026,,,Activa,1,74,171
172,M645704544,SEMESTRAL,15/4/2025,15/4/2026,,,Cancelada,1,75,172
173,M644732140,ANUAL,2/1/2025,2/1/2026,,,Activa,1,76,173
174,M645714344,ANUAL,16/8/2025,16/8/2026,,,Activa,4,77,174
175,M645704468,TRIMESTRAL,28/2/2025,28/2/2026,,,Activa,4,78,175
176,M644731661,TRIMESTRAL,6/1/2025,6/1/2026,,,Activa,1,79,176
177,M645650138,SEMESTRAL,17/2/2025,17/2/2026,,,Cancelada,1,80,177
178,M645707931,TRIMESTRAL,3/6/2025,3/6/2026,,,Activa,1,81,178
179,M644701588,ANUAL,12/1/2024,12/1/2025,,,Cancelada,1,82,179
180,M645709230,ANUAL,17/6/2025,17/6/2026,,,Cancelada,1,83,180
181,M644732335,ANUAL,13/1/2025,13/1/2026,,,Activa,1,84,181
182,M645719426,SEMESTRAL,14/10/2025,14/10/2026,,,Activa,1,84,182
183,M645701141,ANUAL,1/3/2025,1/3/2026,,,Activa,1,85,183
184,M645722608,ANUAL,29/11/2025,29/11/2026,,,Activa,1,86,184
185,M645724623,ANUAL,4/11/2025,4/11/2026,,,Activa,1,87,185
186,M645721237,ANUAL,11/11/2025,11/11/2026,,,Activa,1,88,186
187,M645711363,ANUAL,3/6/2025,3/6/2026,,,Activa,4,89,187
188,M645705448,TRIMESTRAL,13/3/2025,13/3/2026,,,Activa,1,90,188
189,M645705142,ANUAL,25/3/2025,25/3/2026,,,Activa,1,91,189
190,M645718558,TRIMESTRAL,1/10/2025,1/10/2026,,,Activa,1,92,190
191,M644733386,SEMESTRAL,30/1/2025,30/1/2026,,,Activa,4,93,191
192,M645714215,TRIMESTRAL,15/8/2025,15/8/2026,,,Activa,1,93,192
193,M644733981,ANUAL,2/2/2025,2/2/2026,,,Cancelada,1,94,193
194,M645722629,SEMESTRAL,29/11/2025,29/11/2026,,,Activa,1,94,194
195,M644704447,ANUAL,2/2/2024,2/2/2025,,,Cancelada,1,95,195
196,M645704985,TRIMESTRAL,21/4/2025,21/4/2026,,,Activa,1,96,196
197,M645716016,ANUAL,25/8/2025,25/8/2026,,,Activa,1,96,197
198,M645716602,ANUAL,4/9/2025,4/9/2026,,,Activa,2,96,198
199,M644732163,SEMESTRAL,5/1/2025,5/1/2026,,,Activa,1,97,199
200,M644732164,SEMESTRAL,5/1/2025,5/1/2026,,,Activa,1,97,200
201,M645702624,TRIMESTRAL,4/2/2025,4/2/2026,,,Cancelada,4,97,201
202,M644724537,ANUAL,16/8/2024,16/8/2025,,,Cancelada,1,97,202
203,M645720407,TRIMESTRAL,28/10/2025,28/10/2026,,,Activa,1,97,203
204,M644733982,ANUAL,2/2/2025,2/2/2026,,,Activa,1,98,204
205,M645716782,ANUAL,6/9/2025,6/9/2026,,,Activa,1,99,205
206,M645727065,ANUAL,4/12/2025,4/12/2026,,,Activa,1,99,206
207,M645725314,TRIMESTRAL,13/11/2025,13/11/2026,,,Activa,1,100,207
208,M645700329,ANUAL,23/1/2025,23/1/2026,,,Activa,1,101,208
209,M645704169,ANUAL,26/2/2025,26/2/2026,,,Activa,1,101,209
210,M645707142,SEMESTRAL,19/5/2025,19/5/2026,,,Activa,1,102,210
211,M645715555,ANUAL,22/8/2025,22/8/2026,,,Activa,1,103,211
212,M645704382,ANUAL,13/4/2025,13/4/2026,,,Activa,1,104,212
213,M645707159,ANUAL,23/5/2025,23/5/2026,,,Activa,1,104,213
214,M645709340,MENSUAL,21/6/2025,21/6/2026,,,Activa,1,104,214
215,M645716144,ANUAL,16/7/2025,16/7/2026,,,Activa,1,104,215
216,M645710135,SEMESTRAL,4/7/2025,4/7/2026,,,Activa,1,105,216
217,M645700725,SEMESTRAL,23/2/2025,23/2/2026,,,Activa,1,106,217
218,M645710235,ANUAL,3/7/2025,3/7/2026,,,Activa,1,106,218
219,M645710655,SEMESTRAL,9/7/2025,9/7/2026,,,Activa,1,106,219
220,M645717988,ANUAL,24/9/2025,24/9/2026,,,Activa,4,106,220
221,M644702095,SEMESTRAL,19/1/2024,19/1/2025,,,Cancelada,1,107,221
222,M645710037,SEMESTRAL,16/5/2025,16/5/2026,,,Activa,1,107,222
223,M645702515,TRIMESTRAL,20/3/2025,20/3/2026,,,Activa,1,108,223
224,M645724260,TRIMESTRAL,15/12/2025,15/12/2026,,,Activa,1,108,224
225,M644732189,ANUAL,11/1/2025,11/1/2026,,,Activa,1,109,225
226,M645701456,ANUAL,6/3/2025,6/3/2026,,,Activa,1,109,226
227,M644706362,ANUAL,19/3/2024,19/3/2025,,,Cancelada,1,109,227
228,M645706966,ANUAL,8/4/2025,8/4/2026,,,Activa,1,109,228
229,M645710619,ANUAL,8/7/2025,8/7/2026,,,Activa,1,109,229
230,M645710620,ANUAL,8/7/2025,8/7/2026,,,Activa,1,109,230
231,M645712398,ANUAL,19/7/2025,19/7/2026,,,Activa,1,109,231
232,M645717271,ANUAL,30/7/2025,30/7/2026,,,Activa,1,109,232
233,M645718719,ANUAL,4/10/2025,4/10/2026,,,Activa,1,109,233
234,M645721561,ANUAL,16/11/2025,16/11/2026,,,Activa,1,109,234
235,M645722058,ANUAL,23/11/2025,23/11/2026,,,Activa,1,109,235
236,M645719455,ANUAL,14/10/2025,14/10/2026,,,Activa,1,110,236
237,M645716944,ANUAL,8/9/2025,8/9/2026,,,Activa,1,111,237
238,M645719750,ANUAL,19/10/2025,19/10/2026,,,Activa,1,111,238
239,M644727604,ANUAL,6/11/2024,6/11/2025,,,Cancelada,1,111,239
240,M644727583,ANUAL,8/11/2024,8/11/2025,,,Cancelada,1,111,240
241,M645721121,TRIMESTRAL,26/9/2025,26/9/2026,,,Activa,1,112,241
242,M644730282,SEMESTRAL,31/10/2024,31/10/2025,,,Activa,1,113,242
243,M645715958,TRIMESTRAL,15/7/2025,15/7/2026,,,Activa,1,114,243
244,M645709607,ANUAL,26/6/2025,26/6/2026,,,Activa,1,115,244
245,M645700206,TRIMESTRAL,11/2/2025,11/2/2026,,,Activa,1,116,245
246,M644718806,TRIMESTRAL,30/6/2024,30/6/2025,,,Cancelada,1,117,246
247,M645715844,TRIMESTRAL,14/7/2025,14/7/2026,,,Activa,1,117,247
248,M645715160,ANUAL,17/8/2025,17/8/2026,,,Activa,1,117,248
249,M645718187,ANUAL,27/9/2025,27/9/2026,,,Activa,1,117,249
250,M645719856,TRIMESTRAL,20/10/2025,20/10/2026,,,Activa,1,117,250
251,M644733451,TRIMESTRAL,31/1/2025,31/1/2026,,,Activa,8,118,251
252,M645718461,SEMESTRAL,29/9/2025,29/9/2026,,,Activa,1,119,252
253,M645703676,ANUAL,19/2/2025,19/2/2026,,,Activa,3,120,253
254,M645715157,SEMESTRAL,18/8/2025,18/8/2026,,,Activa,1,121,254
255,M644703048,ANUAL,27/1/2024,27/1/2025,,,Cancelada,1,122,255
256,M645704881,SEMESTRAL,5/3/2025,5/3/2026,,,Activa,1,123,256
257,M645707185,ANUAL,24/5/2025,24/5/2026,,,Activa,1,124,257
258,M645708430,ANUAL,9/6/2025,9/6/2026,,,Activa,1,124,258
259,M645721396,SEMESTRAL,14/11/2025,14/11/2026,,,Activa,1,125,259
260,M645703136,ANUAL,11/2/2025,11/2/2026,,,Activa,1,126,260
261,M644711677,ANUAL,22/4/2024,22/4/2025,,,Cancelada,1,126,261
262,M644708624,SEMESTRAL,21/3/2024,21/3/2025,,,Cancelada,1,127,262
263,M644731510,TRIMESTRAL,4/1/2025,4/1/2026,,,Activa,4,128,263
264,M645711720,TRIMESTRAL,25/7/2025,25/7/2026,,,Activa,1,129,264
265,M645717513,MENSUAL,18/9/2025,18/9/2026,,,Activa,1,130,265
266,M644732183,ANUAL,9/1/2025,9/1/2026,,,Activa,1,131,266
267,M644709789,TRIMESTRAL,1/4/2024,1/4/2025,,,Cancelada,1,131,267
268,M645711261,TRIMESTRAL,2/6/2025,2/6/2026,,,Activa,1,131,268
269,M645717260,TRIMESTRAL,13/9/2025,13/9/2026,,,Activa,1,131,269
270,M645720042,ANUAL,23/10/2025,23/10/2026,,,Activa,1,131,270
271,M645721424,SEMESTRAL,2/10/2025,2/10/2026,,,Activa,1,132,271
272,M644709937,ANUAL,1/4/2024,1/4/2025,,,Cancelada,1,133,272
273,M644720246,ANUAL,5/7/2024,5/7/2025,,,Cancelada,1,134,273
274,M645707960,SEMESTRAL,4/6/2025,4/6/2026,,,Activa,1,135,274
275,M645707354,ANUAL,11/4/2025,11/4/2026,,,Activa,1,136,275
276,M644732177,ANUAL,11/1/2025,11/1/2026,,,Activa,1,137,276
277,M645717611,ANUAL,19/9/2025,19/9/2026,,,Activa,1,138,277
278,M645709225,ANUAL,17/6/2025,17/6/2026,,,Activa,1,139,278
279,M645715159,SEMESTRAL,18/8/2025,18/8/2026,,,Activa,1,140,279
280,M645701466,TRIMESTRAL,6/3/2025,6/3/2026,,,Activa,4,141,280
281,M644730210,ANUAL,14/12/2024,14/12/2025,,,Cancelada,1,142,281
282,M645721696-1,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,282
283,M645721696-2,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,283
284,M645721696-3,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,284
285,M645721696-4,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,285
286,M645721696-5,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,286
287,M645721696-6,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,287
288,M645721696-7,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,288
289,M645721696-8,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,289
290,M645721696-9,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,290
291,M645721696-10,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,291
292,M645721696-11,ANUAL,3/10/2025,3/10/2026,,,Activa,1,143,292
293,M644726990,ANUAL,29/10/2024,29/10/2025,,,Cancelada,1,143,293
294,M645720237,ANUAL,26/10/2025,26/10/2026,,,Activa,1,144,294
295,M645704739,SEMESTRAL,18/4/2025,18/4/2026,,,Activa,1,145,295
296,M645704986,SEMESTRAL,21/4/2025,21/4/2026,,,Activa,1,145,296
297,M644728274,SEMESTRAL,17/11/2024,17/11/2025,,,Cancelada,1,146,297
298,M645726282,ANUAL,25/11/2025,25/11/2026,,,Activa,1,147,298
299,M644731803,TRIMESTRAL,8/1/2025,8/1/2026,,,Activa,1,148,299
300,M645706003,ANUAL,6/5/2025,6/5/2026,,,Activa,1,149,300
301,M645703893,TRIMESTRAL,8/4/2025,8/4/2026,,,Activa,3,150,301
302,M644725688,ANUAL,13/10/2024,13/10/2025,,,Cancelada,1,151,302
303,M645702175,TRIMESTRAL,15/3/2025,15/3/2026,,,Activa,1,152,303
304,M645712455,ANUAL,20/7/2025,20/7/2026,,,Activa,1,152,304
305,M644733743,SEMESTRAL,20/12/2024,20/12/2025,,,Activa,1,153,305
306,M644733993,TRIMESTRAL,3/2/2025,3/2/2026,,,Cancelada,1,154,306
307,M645709220,TRIMESTRAL,20/6/2025,20/6/2026,,,Activa,1,154,307
308,M644728649,TRIMESTRAL,22/11/2024,22/11/2025,,,Cancelada,1,154,308
309,M645717800,ANUAL,21/9/2025,21/9/2026,,,Activa,4,155,309
310,M644728619,SEMESTRAL,7/10/2024,7/10/2025,,,Cancelada,1,156,310
311,M645718976,ANUAL,8/10/2025,8/10/2026,,,Activa,1,157,311
312,M645716701,ANUAL,5/9/2025,5/9/2026,,,Activa,1,158,312
313,M645721475,TRIMESTRAL,15/11/2025,15/11/2026,,,Activa,1,159,313
314,M645712635,TRIMESTRAL,20/6/2025,20/6/2026,,,Activa,1,160,314
315,M644732905,SEMESTRAL,19/1/2025,19/1/2026,,,Activa,4,161,315
316,M645702378,SEMESTRAL,7/2/2025,7/2/2026,,,Activa,1,161,316
317,M644710326,ANUAL,4/4/2024,4/4/2025,,,Cancelada,1,162,317
318,M644728813,TRIMESTRAL,18/11/2024,18/11/2025,,,Cancelada,4,163,318
319,M645725270,ANUAL,2/12/2025,2/12/2026,,,Activa,1,164,319
320,M644728107-1,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,320
321,M644728107-2,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,321
322,M644728107-3,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,322
323,M644728107-4,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,323
324,M644728107-5,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,324
325,M644728107-6,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,325
326,M644728107-7,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,9,165,326
327,M644728107-8,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,327
328,M644728107-9,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,328
329,M644728107-10,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,329
330,M644728107-11,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,330
331,M644728107-12,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,331
332,M644728107-13,TRIMESTRAL,5/10/2024,5/10/2025,,,Activa,1,165,332
